mesh 1 x,mesh 1 y,mesh 1 z,energy low [eV],energy high [eV],particle,nuclide,score,mean,std. dev.
9,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
10,1,2,1.0,10000000.0,neutron,total,flux,9.514589803919633e-07,9.514589803919633e-07
10,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
10,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
11,1,2,1.0,10000000.0,neutron,total,flux,6.23010958200616e-07,6.23010958200616e-07
11,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
11,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
12,1,2,1.0,10000000.0,neutron,total,flux,2.783929630665592e-07,2.783929630665592e-07
12,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
12,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
13,1,2,1.0,10000000.0,neutron,total,flux,0.0,0.0
13,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
13,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
14,1,2,1.0,10000000.0,neutron,total,flux,2.0130613716260254e-07,2.0130613716260257e-07
14,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
14,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
15,1,2,1.0,10000000.0,neutron,total,flux,1.2165500572753655e-06,8.506093455586275e-07
15,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
15,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
16,1,2,1.0,10000000.0,neutron,total,flux,0.0,0.0
16,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
16,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
17,1,2,1.0,10000000.0,neutron,total,flux,0.0,0.0
17,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
17,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
18,1,2,1.0,10000000.0,neutron,total,flux,0.0,0.0
18,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
18,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
19,1,2,1.0,10000000.0,neutron,total,flux,0.0,0.0
19,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
19,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
20,1,2,1.0,10000000.0,neutron,total,flux,0.0,0.0
20,1,2,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
20,1,2,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
21,1,2,1.0,10000000.0,neutron,total,flux,0.0,0.0
